Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T04:00+01:00;2022-03-08T05:00+01:00;08.03.2022;04:00;05:00;Totalt i retning Tromsø;27;100;1;1;0;0;100;27;0;0;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T04:00+01:00;2022-03-08T05:00+01:00;08.03.2022;04:00;05:00;Totalt;39;100;1;1;0;1;97,44;37;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T05:00+01:00;2022-03-08T06:00+01:00;08.03.2022;05:00;06:00;1;25;100;1;1;0;0;100;18;7;1;1;5;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T05:00+01:00;2022-03-08T06:00+01:00;08.03.2022;05:00;06:00;2;66;100;1;1;0;0;100;62;4;0;3;1;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T05:00+01:00;2022-03-08T06:00+01:00;08.03.2022;05:00;06:00;Totalt i retning Kvaløya;25;100;1;1;0;0;100;18;7;1;1;5;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T05:00+01:00;2022-03-08T06:00+01:00;08.03.2022;05:00;06:00;Totalt i retning Tromsø;66;100;1;1;0;0;100;62;4;0;3;1;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T05:00+01:00;2022-03-08T06:00+01:00;08.03.2022;05:00;06:00;Totalt;91;100;1;1;0;0;100;80;11;1;4;6;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T06:00+01:00;2022-03-08T07:00+01:00;08.03.2022;06:00;07:00;1;127;100;1;1;0;0;100;105;22;5;3;12;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T06:00+01:00;2022-03-08T07:00+01:00;08.03.2022;06:00;07:00;2;473;100;1;1;0;0;100;458;15;3;3;9;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T06:00+01:00;2022-03-08T07:00+01:00;08.03.2022;06:00;07:00;Totalt i retning Kvaløya;127;100;1;1;0;0;100;105;22;5;3;12;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T06:00+01:00;2022-03-08T07:00+01:00;08.03.2022;06:00;07:00;Totalt i retning Tromsø;473;100;1;1;0;0;100;458;15;3;3;9;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T06:00+01:00;2022-03-08T07:00+01:00;08.03.2022;06:00;07:00;Totalt;600;100;1;1;0;0;100;563;37;8;6;21;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T07:00+01:00;2022-03-08T08:00+01:00;08.03.2022;07:00;08:00;1;240;100;1;1;0;0;100;205;35;7;9;19;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T07:00+01:00;2022-03-08T08:00+01:00;08.03.2022;07:00;08:00;2;1146;100;1;1;0;0;100;1105;41;12;7;21;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T07:00+01:00;2022-03-08T08:00+01:00;08.03.2022;07:00;08:00;Totalt i retning Kvaløya;240;100;1;1;0;0;100;205;35;7;9;19;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T07:00+01:00;2022-03-08T08:00+01:00;08.03.2022;07:00;08:00;Totalt i retning Tromsø;1146;100;1;1;0;0;100;1105;41;12;7;21;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T07:00+01:00;2022-03-08T08:00+01:00;08.03.2022;07:00;08:00;Totalt;1386;100;1;1;0;0;100;1310;76;19;16;40;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T08:00+01:00;2022-03-08T09:00+01:00;08.03.2022;08:00;09:00;1;306;100;1;1;0;0;100;271;35;7;12;16;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T08:00+01:00;2022-03-08T09:00+01:00;08.03.2022;08:00;09:00;2;662;100;1;1;0;0;100;618;44;9;16;18;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T08:00+01:00;2022-03-08T09:00+01:00;08.03.2022;08:00;09:00;Totalt i retning Kvaløya;306;100;1;1;0;0;100;271;35;7;12;16;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T08:00+01:00;2022-03-08T09:00+01:00;08.03.2022;08:00;09:00;Totalt i retning Tromsø;662;100;1;1;0;0;100;618;44;9;16;18;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T08:00+01:00;2022-03-08T09:00+01:00;08.03.2022;08:00;09:00;Totalt;968;100;1;1;0;0;100;889;79;16;28;34;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T09:00+01:00;2022-03-08T10:00+01:00;08.03.2022;09:00;10:00;1;257;100;1;1;0;0;100;217;40;13;11;14;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T09:00+01:00;2022-03-08T10:00+01:00;08.03.2022;09:00;10:00;2;508;100;1;1;0;0;100;474;34;8;11;14;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T09:00+01:00;2022-03-08T10:00+01:00;08.03.2022;09:00;10:00;Totalt i retning Kvaløya;257;100;1;1;0;0;100;217;40;13;11;14;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T09:00+01:00;2022-03-08T10:00+01:00;08.03.2022;09:00;10:00;Totalt i retning Tromsø;508;100;1;1;0;0;100;474;34;8;11;14;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T09:00+01:00;2022-03-08T10:00+01:00;08.03.2022;09:00;10:00;Totalt;765;100;1;1;0;0;100;691;74;21;22;28;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T10:00+01:00;2022-03-08T11:00+01:00;08.03.2022;10:00;11:00;1;392;100;1;1;0;0;100;360;32;10;9;9;4;4;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T10:00+01:00;2022-03-08T11:00+01:00;08.03.2022;10:00;11:00;2;449;100;1;1;0;0;100;409;40;14;16;9;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T10:00+01:00;2022-03-08T11:00+01:00;08.03.2022;10:00;11:00;Totalt i retning Kvaløya;392;100;1;1;0;0;100;360;32;10;9;9;4;4;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T10:00+01:00;2022-03-08T11:00+01:00;08.03.2022;10:00;11:00;Totalt i retning Tromsø;449;100;1;1;0;0;100;409;40;14;16;9;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T10:00+01:00;2022-03-08T11:00+01:00;08.03.2022;10:00;11:00;Totalt;841;100;1;1;0;0;100;769;72;24;25;18;5;5;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T11:00+01:00;2022-03-08T12:00+01:00;08.03.2022;11:00;12:00;1;430;100;1;1;0;0;100;400;30;8;11;9;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T11:00+01:00;2022-03-08T12:00+01:00;08.03.2022;11:00;12:00;2;462;100;1;1;0;0;100;429;33;7;11;10;5;5;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T11:00+01:00;2022-03-08T12:00+01:00;08.03.2022;11:00;12:00;Totalt i retning Kvaløya;430;100;1;1;0;0;100;400;30;8;11;9;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T11:00+01:00;2022-03-08T12:00+01:00;08.03.2022;11:00;12:00;Totalt i retning Tromsø;462;100;1;1;0;0;100;429;33;7;11;10;5;5;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T11:00+01:00;2022-03-08T12:00+01:00;08.03.2022;11:00;12:00;Totalt;892;100;1;1;0;0;100;829;63;15;22;19;7;7;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T12:00+01:00;2022-03-08T13:00+01:00;08.03.2022;12:00;13:00;1;484;100;1;1;0;0;100;455;29;8;9;10;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T12:00+01:00;2022-03-08T13:00+01:00;08.03.2022;12:00;13:00;2;459;100;1;1;0;0;100;428;31;11;11;8;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T12:00+01:00;2022-03-08T13:00+01:00;08.03.2022;12:00;13:00;Totalt i retning Kvaløya;484;100;1;1;0;0;100;455;29;8;9;10;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T12:00+01:00;2022-03-08T13:00+01:00;08.03.2022;12:00;13:00;Totalt i retning Tromsø;459;100;1;1;0;0;100;428;31;11;11;8;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T12:00+01:00;2022-03-08T13:00+01:00;08.03.2022;12:00;13:00;Totalt;943;100;1;1;0;0;100;883;60;19;20;18;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T13:00+01:00;2022-03-08T14:00+01:00;08.03.2022;13:00;14:00;1;523;100;1;1;0;0;100;482;41;8;18;12;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T13:00+01:00;2022-03-08T14:00+01:00;08.03.2022;13:00;14:00;2;461;100;1;1;0;0;100;433;28;5;10;11;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T13:00+01:00;2022-03-08T14:00+01:00;08.03.2022;13:00;14:00;Totalt i retning Kvaløya;523;100;1;1;0;0;100;482;41;8;18;12;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T13:00+01:00;2022-03-08T14:00+01:00;08.03.2022;13:00;14:00;Totalt i retning Tromsø;461;100;1;1;0;0;100;433;28;5;10;11;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T13:00+01:00;2022-03-08T14:00+01:00;08.03.2022;13:00;14:00;Totalt;984;100;1;1;0;0;100;915;69;13;28;23;5;5;0
