Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T00:00+01:00;2023-03-08T01:00+01:00;08.03.2023;00:00;01:00;1;42;100;1;1;0;0;100;32;10;6;1;3;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T00:00+01:00;2023-03-08T01:00+01:00;08.03.2023;00:00;01:00;2;68;100;1;1;0;0;100;46;22;10;4;8;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T00:00+01:00;2023-03-08T01:00+01:00;08.03.2023;00:00;01:00;Totalt i retning Kvaløya;42;100;1;1;0;0;100;32;10;6;1;3;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T00:00+01:00;2023-03-08T01:00+01:00;08.03.2023;00:00;01:00;Totalt i retning Tromsø;68;100;1;1;0;0;100;46;22;10;4;8;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T00:00+01:00;2023-03-08T01:00+01:00;08.03.2023;00:00;01:00;Totalt;110;100;1;1;0;0;100;78;32;16;5;11;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T01:00+01:00;2023-03-08T02:00+01:00;08.03.2023;01:00;02:00;1;32;100;1;1;0;0;100;25;7;1;5;0;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T01:00+01:00;2023-03-08T02:00+01:00;08.03.2023;01:00;02:00;2;28;100;1;1;0;0;100;22;6;2;3;1;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T01:00+01:00;2023-03-08T02:00+01:00;08.03.2023;01:00;02:00;Totalt i retning Kvaløya;32;100;1;1;0;0;100;25;7;1;5;0;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T01:00+01:00;2023-03-08T02:00+01:00;08.03.2023;01:00;02:00;Totalt i retning Tromsø;28;100;1;1;0;0;100;22;6;2;3;1;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2023-03-08T01:00+01:00;2023-03-08T02:00+01:00;08.03.2023;01:00;02:00;Totalt;60;100;1;1;0;0;100;47;13;3;8;1;1;1;0
