Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T00:00+01:00;2019-03-08T01:00+01:00;08.03.2019;00:00;01:00;1;62;100;1;1;0;0;100;58;4;1;2;1;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T00:00+01:00;2019-03-08T01:00+01:00;08.03.2019;00:00;01:00;2;77;100;1;1;0;0;100;67;10;4;5;1;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T00:00+01:00;2019-03-08T01:00+01:00;08.03.2019;00:00;01:00;Totalt i retning Kvaløya;62;100;1;1;0;0;100;58;4;1;2;1;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T00:00+01:00;2019-03-08T01:00+01:00;08.03.2019;00:00;01:00;Totalt i retning Tromsø;77;100;1;1;0;0;100;67;10;4;5;1;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T00:00+01:00;2019-03-08T01:00+01:00;08.03.2019;00:00;01:00;Totalt;139;100;1;1;0;0;100;125;14;5;7;2;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T01:00+01:00;2019-03-08T02:00+01:00;08.03.2019;01:00;02:00;1;34;100;1;1;0;0;100;33;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T01:00+01:00;2019-03-08T02:00+01:00;08.03.2019;01:00;02:00;2;28;100;1;1;0;0;100;25;3;3;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T01:00+01:00;2019-03-08T02:00+01:00;08.03.2019;01:00;02:00;Totalt i retning Kvaløya;34;100;1;1;0;0;100;33;1;0;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T01:00+01:00;2019-03-08T02:00+01:00;08.03.2019;01:00;02:00;Totalt i retning Tromsø;28;100;1;1;0;0;100;25;3;3;0;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T01:00+01:00;2019-03-08T02:00+01:00;08.03.2019;01:00;02:00;Totalt;62;100;1;1;0;0;100;58;4;3;1;0;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2019-03-08T02:00+01:00;2019-03-08T03:00+01:00;08.03.2019;02:00;03:00;1;32;100;1;1;0;0;100;30;2;0;2;0;0;0;0
