Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Sesong;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-12-01T00:00+01:00;2022;Høst;2353;2299;2407;100;91;91;0;46;98;4;1974;333;192;41;47;54;53;1
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-12-01T00:00+01:00;2022;Høst;5360;5179;5541;100;91;91;0;96;98,2;Totalt i retning Muse`gata;4395;869;509;188;94;79;76;3
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-12-01T00:00+01:00;2022;Høst;1256;770;1742;100;91;91;0;7;99,4;Totalt i retning Nyløkken/Telegrafbukta;1161;88;30;27;28;2;2;0
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-09-01T00:00+02:00;2022-12-01T00:00+01:00;2022;Høst;6616;6057;7175;100;91;91;0;103;98,4;Totalt;5556;957;540;216;122;81;78;3
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-12-01T00:00+01:00;2023-03-01T00:00+01:00;2023;Vinter;0;0;0;100;90;90;0;0;-;1;0;0;0;0;0;0;0;0
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-12-01T00:00+01:00;2023-03-01T00:00+01:00;2023;Vinter;2738;2621;2855;100;90;90;0;68;97,5;2;2196;474;291;123;42;17;16;1
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-12-01T00:00+01:00;2023-03-01T00:00+01:00;2023;Vinter;2525;2418;2632;100;90;90;0;130;94,9;4;2072;324;158;40;61;64;63;1
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-12-01T00:00+01:00;2023-03-01T00:00+01:00;2023;Vinter;5239;5041;5437;100;90;90;0;196;96,3;Totalt i retning Muse`gata;4249;794;449;161;102;83;80;3
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-12-01T00:00+01:00;2023-03-01T00:00+01:00;2023;Vinter;23;16;30;100;90;90;0;1;95,7;Totalt i retning Nyløkken/Telegrafbukta;19;3;0;2;1;0;0;0
05899V1109722;Strandvegen;KV40500 S1D1 m156;2022-12-01T00:00+01:00;2023-03-01T00:00+01:00;2023;Vinter;5263;5065;5461;100;90;90;0;198;96,2;Totalt;4268;798;449;163;103;83;80;3
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-03-01T00:00+01:00;2015-06-01T00:00+02:00;2015;Vår;2281;2042;2520;41,3;92;38;8;11;99,5;1;2172;98;41;45;5;7;7;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-03-01T00:00+01:00;2015-06-01T00:00+02:00;2015;Vår;2174;1847;2501;41,3;92;38;8;116;94,7;2;1775;284;29;169;68;18;16;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-03-01T00:00+01:00;2015-06-01T00:00+02:00;2015;Vår;7285;6367;8203;41,3;92;38;8;8;99,9;3;7091;186;68;88;22;7;7;0
